
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.4064721E+07   0.2016115E+04   0.3208747E+03   0.0000000E+00
      2   0.4064823E+07   0.2016141E+04   0.3208787E+03   0.0000000E+00
      3   0.3306649E+09   0.1818419E+05   0.2894104E+04   0.0000000E+00
      4   0.1654842E+10   0.4067974E+05   0.6474382E+04   0.0000000E+00
      5   0.1654890E+10   0.4068034E+05   0.6474477E+04   0.0000000E+00
      6   0.2367085E+10   0.4865269E+05   0.7743317E+04   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.4159540E+00   0.1196915E+00  -0.4676800E-06  -0.1181486E-01  -0.4105920E-01  -0.7630350E-09
      2   0.1196914E+00   0.4159539E+00   0.9691036E-07  -0.4105920E-01   0.1181486E-01   0.7577672E-08
      3   0.1622029E-07   0.2098429E-07   0.4368565E+00  -0.5202191E-08  -0.4227342E-07  -0.8882094E-11
      4  -0.7805996E-01   0.2336078E-01   0.1647397E-05  -0.5500274E-03  -0.1837953E-02  -0.4958571E-10
      5   0.2336071E-01   0.7805974E-01  -0.4175024E-06  -0.1838007E-02   0.5500425E-03  -0.7691120E-09
      6   0.5815311E-08   0.5197849E-08   0.3379628E-05   0.6624210E-10  -0.1213313E-09   0.1278505E-02

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1730178E+00   0.1432605E-01   0.2187246E-12   0.1395909E-03   0.1685858E-02   0.5822224E-18
      2   0.1432604E-01   0.1730176E+00   0.9391619E-14   0.1685858E-02   0.1395909E-03   0.5742112E-16
      3   0.2630979E-15   0.4403403E-15   0.1908436E+00   0.2706279E-16   0.1787042E-14   0.7889159E-22
      4   0.6093358E-02   0.5457260E-03   0.2713917E-11   0.3025301E-06   0.3378070E-05   0.2458743E-20
      5   0.5457229E-03   0.6093323E-02   0.1743082E-12   0.3378269E-05   0.3025468E-06   0.5915333E-18
      6   0.3381784E-16   0.2701764E-16   0.1142188E-10   0.4388016E-20   0.1472129E-19   0.1634575E-05
TOTAL     0.1939829E+00   0.1939827E+00   0.1908436E+00   0.1829129E-02   0.1829129E-02   0.1634575E-05

     T O T A L   E F F E C T I V E   M A S S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1984883E+00   0.1984883E+00   0.1984883E+00   0.1829471E-02   0.1829471E-02   0.2018592E-05


     F R A C T I O N   O F   T O T A L S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.9773013E+00   0.9773006E+00   0.9614853E+00   0.9998135E+00   0.9998135E+00   0.8097598E+00

