
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.3963158E+07   0.1990768E+04   0.3168406E+03   0.0000000E+00
      2   0.4008303E+07   0.2002075E+04   0.3186401E+03   0.0000000E+00
      3   0.2241630E+09   0.1497207E+05   0.2382880E+04   0.0000000E+00
      4   0.1207053E+10   0.3474266E+05   0.5529466E+04   0.0000000E+00
      5   0.1881126E+10   0.4337195E+05   0.6902860E+04   0.0000000E+00
      6   0.2603317E+10   0.5102271E+05   0.8120516E+04   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4012975E+00   0.1616413E+00   0.5395395E-04  -0.1596049E-01   0.3962536E-01  -0.3509217E-02
      2   0.1605566E+00  -0.3986205E+00   0.4977953E-01   0.3974169E-01   0.1600764E-01   0.3730524E-05
      3   0.2313193E-01  -0.5725228E-01  -0.4248773E+00   0.1665751E-02   0.6730248E-03  -0.2081202E-08
      4   0.6123494E-01   0.2473800E-01   0.5387409E-05  -0.6800826E-03   0.1683323E-02   0.1057951E-02
      5   0.2780192E-01  -0.6881490E-01   0.7606057E-01   0.1578464E-02   0.6376844E-03  -0.5735456E-07
      6   0.4715552E-01   0.1905411E-01  -0.7054966E-05  -0.3643773E-03   0.9016497E-03  -0.8890287E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1610397E+00   0.2612792E-01   0.2911029E-08   0.2547373E-03   0.1570169E-02   0.1231460E-04
      2   0.2577841E-01   0.1588983E+00   0.2478002E-02   0.1579402E-02   0.2562445E-03   0.1391681E-10
      3   0.5350860E-03   0.3277824E-02   0.1805207E+00   0.2774725E-05   0.4529624E-06   0.4331400E-17
      4   0.3749718E-02   0.6119689E-03   0.2902418E-10   0.4625123E-06   0.2833576E-05   0.1119259E-05
      5   0.7729469E-03   0.4735491E-02   0.5785211E-02   0.2491548E-05   0.4066414E-06   0.3289546E-14
      6   0.2223643E-02   0.3630591E-03   0.4977255E-10   0.1327708E-06   0.8129722E-06   0.7903720E-06
TOTAL     0.1940995E+00   0.1940146E+00   0.1887839E+00   0.1840000E-02   0.1830920E-02   0.1422425E-04

     T O T A L   E F F E C T I V E   M A S S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1984883E+00   0.1984883E+00   0.1984883E+00   0.1840342E-02   0.1831245E-02   0.1466445E-04


     F R A C T I O N   O F   T O T A L S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.9778888E+00   0.9774610E+00   0.9511085E+00   0.9998145E+00   0.9998222E+00   0.9699816E+00

