
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.3218146E+07   0.1793919E+04   0.2855111E+03   0.0000000E+00
      2   0.3584733E+07   0.1893339E+04   0.3013343E+03   0.0000000E+00
      3   0.4021444E+08   0.6341486E+04   0.1009279E+04   0.0000000E+00
      4   0.5289470E+09   0.2299885E+05   0.3660380E+04   0.0000000E+00
      5   0.7091564E+09   0.2662999E+05   0.4238295E+04   0.0000000E+00
      6   0.2531707E+10   0.5031607E+05   0.8008052E+04   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.1644921E+00   0.3972158E+00  -0.2918821E-01  -0.3954226E-01  -0.1637265E-01   0.3039233E-04
      2   0.3989866E+00   0.1651522E+00  -0.9685287E-03  -0.1633470E-01   0.3944129E-01  -0.3517652E-02
      3   0.8935127E-02  -0.2451447E-01  -0.4189398E+00  -0.6879903E-03  -0.3639439E-03   0.4482654E-05
      4  -0.2721945E-01   0.6694248E-01   0.3610665E-01  -0.2693771E-02  -0.1095502E-02  -0.1608238E-05
      5   0.6112643E-01   0.2470440E-01  -0.1205268E-02  -0.8907592E-03   0.2197146E-02   0.7926268E-03
      6  -0.3306883E-01  -0.1329931E-01   0.1883335E-03   0.2574040E-03  -0.6397424E-03   0.1078393E-02

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2705764E-01   0.1577804E+00   0.8519518E-03   0.1563590E-02   0.2680635E-03   0.9236938E-09
      2   0.1591903E+00   0.2727524E-01   0.9380478E-06   0.2668225E-03   0.1555615E-02   0.1237388E-04
      3   0.7983649E-04   0.6009591E-03   0.1755106E+00   0.4733307E-06   0.1324552E-06   0.2009419E-10
      4   0.7408986E-03   0.4481296E-02   0.1303690E-02   0.7256404E-05   0.1200124E-05   0.2586431E-11
      5   0.3736440E-02   0.6103072E-03   0.1452670E-05   0.7934520E-06   0.4827451E-05   0.6282573E-06
      6   0.1093548E-02   0.1768718E-03   0.3546950E-07   0.6625682E-07   0.4092704E-06   0.1162932E-05
TOTAL     0.1918986E+00   0.1909250E+00   0.1776686E+00   0.1839002E-02   0.1830248E-02   0.1416601E-04

     T O T A L   E F F E C T I V E   M A S S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1984883E+00   0.1984883E+00   0.1984883E+00   0.1840342E-02   0.1831247E-02   0.1466666E-04


     F R A C T I O N   O F   T O T A L S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.9668008E+00   0.9618957E+00   0.8951089E+00   0.9992720E+00   0.9994546E+00   0.9658650E+00

